
Segment Resistance
 ==================== 
Segment Resistance,Unit,Category,Depth,Level,Time,FilamentID,ID,
0.0742968,1/µm,Segment,1,1,1,100000000,510000000001,
0.240724,1/µm,Segment,2,1,1,100000000,510000000003,
4.13321,1/µm,Segment,3,1,1,100000000,510000000007,
3.55969,1/µm,Segment,3,2,1,100000000,510000000039,
0.841964,1/µm,Segment,2,2,1,100000000,510000000051,
2.12622,1/µm,Segment,3,2,1,100000000,510000000054,
3.57241,1/µm,Segment,3,3,1,100000000,510000000060,
2.0513,1/µm,Segment,1,1,1,100000000,510000000083,
0.369326,1/µm,Segment,2,1,1,100000000,510000000098,
2.00869,1/µm,Segment,3,1,1,100000000,510000000103,
2.38088,1/µm,Segment,3,2,1,100000000,510000000123,
0.0599878,1/µm,Segment,2,1,1,100000000,510000000137,
1.75878,1/µm,Segment,3,1,1,100000000,510000000139,
3.7718,1/µm,Segment,3,2,1,100000000,510000000160,
2.96574,1/µm,Segment,2,2,1,100000000,510000000181,
3.83935,1/µm,Segment,2,2,1,100000000,510000000190,
2.07891,1/µm,Segment,2,2,1,100000000,510000000208,
1.99488,1/µm,Segment,2,1,1,100000001,510000000218,
4.51043,1/µm,Segment,3,1,1,100000001,510000000225,
6.73366,1/µm,Segment,3,2,1,100000001,510000000234,
6.68608,1/µm,Segment,2,2,1,100000001,510000000244,
0.265329,1/µm,Segment,1,1,1,100000001,510000000263,
4.22246,1/µm,Segment,2,1,1,100000001,510000000265,
0.560219,1/µm,Segment,1,1,1,100000001,510000000277,
3.41525,1/µm,Segment,2,1,1,100000001,510000000280,
5.9989,1/µm,Segment,3,1,1,100000001,510000000291,
14.3346,1/µm,Segment,3,2,1,100000001,510000000304,
4.38423,1/µm,Segment,2,2,1,100000001,510000000325,
15.5528,1/µm,Segment,3,2,1,100000001,510000000335,
6.95044,1/µm,Segment,3,3,1,100000001,510000000360,
2.15658,1/µm,Segment,1,1,1,100000001,510000000372,
4.72096,1/µm,Segment,2,2,1,100000001,510000000378,
14.6598,1/µm,Segment,3,1,1,100000002,510000000392,
19.2481,1/µm,Segment,2,2,1,100000002,510000000405,
0.592505,1/µm,Segment,1,1,1,100000002,510000000415,
11.6427,1/µm,Segment,2,1,1,100000002,510000000417,
21.0648,1/µm,Segment,4,2,1,100000002,510000000430,
2.17097,1/µm,Segment,4,1,1,100000002,510000000449,
13.2305,1/µm,Segment,5,1,1,100000002,510000000451,
2.46408,1/µm,Segment,2,2,1,100000002,510000000457,
17.1808,1/µm,Segment,3,2,1,100000002,510000000459,
4.00214,1/µm,Segment,2,2,1,100000002,510000000468,
22.0171,1/µm,Segment,3,2,1,100000002,510000000470,
9.71678,1/µm,Segment,3,3,1,100000002,510000000481,
8.36404,1/µm,Segment,3,2,1,100000002,510000000485,
31.7713,1/µm,Segment,5,2,1,100000002,510000000490,
11.6526,1/µm,Segment,1,1,1,100000002,510000000503,
0.628408,1/µm,Segment,1,1,1,100000003,510000000517,
1.87755,1/µm,Segment,1,1,1,100000003,510000000532,
5.0967,1/µm,Segment,2,1,1,100000003,510000000537,
1.13414,1/µm,Segment,2,2,1,100000003,510000000547,
2.17512,1/µm,Segment,3,2,1,100000003,510000000550,
1.18755,1/µm,Segment,4,2,1,100000003,510000000555,
6.89863,1/µm,Segment,5,2,1,100000003,510000000558,
8.26546,1/µm,Segment,4,3,1,100000003,510000000575,
4.84727,1/µm,Segment,3,3,1,100000003,510000000585,
14.9913,1/µm,Segment,4,3,1,100000003,510000000591,
11.3211,1/µm,Segment,4,4,1,100000003,510000000611,
18.9461,1/µm,Segment,2,3,1,100000003,510000000625,
15.2435,1/µm,Segment,5,3,1,100000003,510000000650,
3.00265,1/µm,Segment,1,2,1,100000003,510000000668,
4.78439,1/µm,Segment,2,2,1,100000003,510000000672,
0.286922,1/µm,Segment,1,1,1,100000004,510000000678,
0.924648,1/µm,Segment,2,1,1,100000004,510000000680,
4.38865,1/µm,Segment,2,1,1,100000004,510000000686,
1.48495,1/µm,Segment,3,1,1,100000004,510000000700,
1.76072,1/µm,Segment,3,2,1,100000004,510000000703,
4.42801,1/µm,Segment,1,1,1,100000004,510000000705,
0.60929,1/µm,Segment,2,1,1,100000004,510000000720,
1.42702,1/µm,Segment,3,1,1,100000004,510000000723,
1.53997,1/µm,Segment,4,1,1,100000004,510000000727,
1.92392,1/µm,Segment,4,2,1,100000004,510000000730,
4.21518,1/µm,Segment,3,2,1,100000004,510000000733,
1.46826,1/µm,Segment,2,2,1,100000004,510000000740,
0.684636,1/µm,Segment,3,2,1,100000004,510000000743,
3.01267,1/µm,Segment,4,2,1,100000004,510000000745,
2.42425,1/µm,Segment,2,2,1,100000004,510000000751,
4.23311,1/µm,Segment,3,3,1,100000004,510000000756,
2.02428,1/µm,Segment,2,2,1,100000004,510000000766,
5.30164,1/µm,Segment,2,2,1,100000004,510000000771,
1.06227,1/µm,Segment,3,2,1,100000004,510000000784,
4.65041,1/µm,Segment,2,1,1,100000005,510000000789,
7.37138,1/µm,Segment,2,2,1,100000005,510000000803,
7.36695,1/µm,Segment,2,2,1,100000005,510000000827,
